Date, Price, Grid load forecast, Wind power forecast
2013-01-01 00:00:00,31.05,42497.0,2798.0
2013-01-01 01:00:00,30.47,41463.0,2417.0
2013-01-01 02:00:00,28.92,40812.0,2036.0
2013-01-01 03:00:00,27.88,40246.0,1706.0
2013-01-01 04:00:00,26.96,40088.0,1427.0
2013-01-01 05:00:00,27.84,40360.0,1183.0
2013-01-01 06:00:00,28.79,41027.0,1012.0
2013-01-01 07:00:00,28.63,41976.0,908.0
2013-01-01 08:00:00,28.44,42705.0,848.0
2013-01-01 09:00:00,28.3,43503.0,819.0
2013-01-01 10:00:00,30.65,44766.0,816.0
2013-01-01 11:00:00,31.55,45691.0,830.0
2013-01-01 12:00:00,32.16,46085.0,835.0
2013-01-01 13:00:00,32.45,46306.0,821.0
2013-01-01 14:00:00,32.63,46918.0,822.0
2013-01-01 15:00:00,33.65,48161.0,843.0
2013-01-01 16:00:00,34.9,49542.0,881.0
2013-01-01 17:00:00,36.22,50210.0,968.0
2013-01-01 18:00:00,36.65,49909.0,1102.0
2013-01-01 19:00:00,36.37,49107.0,1233.0
2013-01-01 20:00:00,35.49,48101.0,1332.0
2013-01-01 21:00:00,34.41,47445.0,1342.0
2013-01-01 22:00:00,34.66,45680.0,1327.0
2013-01-01 23:00:00,32.55,44099.0,1352.0
2013-01-02 00:00:00,33.15,42602.0,1350.0
2013-01-02 01:00:00,32.66,41720.0,1314.0
2013-01-02 02:00:00,31.83,41519.0,1339.0
2013-01-02 03:00:00,31.47,41672.0,1352.0
2013-01-02 04:00:00,32.56,42621.0,1347.0
2013-01-02 05:00:00,34.36,44805.0,1407.0
2013-01-02 06:00:00,36.28,48444.0,1464.0
2013-01-02 07:00:00,38.39,52178.0,1498.0
2013-01-02 08:00:00,39.09,53740.0,1576.0
2013-01-02 09:00:00,38.33,53976.0,1683.0
2013-01-02 10:00:00,38.42,54480.0,1815.0
2013-01-02 11:00:00,38.25,54787.0,1925.0
2013-01-02 12:00:00,37.96,54592.0,1979.0
2013-01-02 13:00:00,37.89,54511.0,2005.0
2013-01-02 14:00:00,37.88,54848.0,2007.0
2013-01-02 15:00:00,38.78,55705.0,1966.0
2013-01-02 16:00:00,39.83,56651.0,1891.0
2013-01-02 17:00:00,39.91,56935.0,1821.0
2013-01-02 18:00:00,39.32,55997.0,1774.0
2013-01-02 19:00:00,38.49,54835.0,1734.0
2013-01-02 20:00:00,37.46,53220.0,1716.0
2013-01-02 21:00:00,36.94,51962.0,1723.0
2013-01-02 22:00:00,36.37,49776.0,1781.0
2013-01-02 23:00:00,34.59,47125.0,1918.0
2013-01-03 00:00:00,33.11,45029.0,2209.0
2013-01-03 01:00:00,32.22,44023.0,2349.0
2013-01-03 02:00:00,31.46,43600.0,2530.0
2013-01-03 03:00:00,31.67,43677.0,2732.0
2013-01-03 04:00:00,32.05,44377.0,2867.0
2013-01-03 05:00:00,33.67,46427.0,2973.0
2013-01-03 06:00:00,34.93,50150.0,3113.0
2013-01-03 07:00:00,35.82,54148.0,3216.0
2013-01-03 08:00:00,36.38,55882.0,3286.0
2013-01-03 09:00:00,36.52,56040.0,3402.0
2013-01-03 10:00:00,36.71,56216.0,3549.0
2013-01-03 11:00:00,36.6,56110.0,3648.0
2013-01-03 12:00:00,36.51,55576.0,3677.0
2013-01-03 13:00:00,36.4,55411.0,3680.0
2013-01-03 14:00:00,36.42,55768.0,3686.0
2013-01-03 15:00:00,36.58,56413.0,3679.0
2013-01-03 16:00:00,36.94,57285.0,3644.0
2013-01-03 17:00:00,36.94,57558.0,3553.0
2013-01-03 18:00:00,36.81,56793.0,3440.0
2013-01-03 19:00:00,36.43,55578.0,3312.0
2013-01-03 20:00:00,35.91,53745.0,3203.0
2013-01-03 21:00:00,35.45,52308.0,3111.0
2013-01-03 22:00:00,34.77,49951.0,3043.0
2013-01-03 23:00:00,32.09,47288.0,2977.0
2013-01-04 00:00:00,31.71,44859.0,2956.0
2013-01-04 01:00:00,30.86,43868.0,2832.0
2013-01-04 02:00:00,30.21,43473.0,2757.0
2013-01-04 03:00:00,30.36,43557.0,2686.0
2013-01-04 04:00:00,30.89,44292.0,2554.0
2013-01-04 05:00:00,32.21,46354.0,2368.0
2013-01-04 06:00:00,34.33,49917.0,2212.0
2013-01-04 07:00:00,35.98,53990.0,2119.0
2013-01-04 08:00:00,36.72,55748.0,2114.0
2013-01-04 09:00:00,36.68,55766.0,2206.0
2013-01-04 10:00:00,36.8,56039.0,2396.0
2013-01-04 11:00:00,36.64,55875.0,2641.0
2013-01-04 12:00:00,36.44,55427.0,2828.0
2013-01-04 13:00:00,36.31,55218.0,2924.0
2013-01-04 14:00:00,35.83,55541.0,2976.0
2013-01-04 15:00:00,36.12,56355.0,2973.0
2013-01-04 16:00:00,36.8,57165.0,2915.0
2013-01-04 17:00:00,37.29,57337.0,2832.0
2013-01-04 18:00:00,37.15,56567.0,2733.0
2013-01-04 19:00:00,36.47,55246.0,2597.0
2013-01-04 20:00:00,36.03,53340.0,2422.0
2013-01-04 21:00:00,35.43,51900.0,2213.0
2013-01-04 22:00:00,35.17,49813.0,2007.0
2013-01-04 23:00:00,32.95,47370.0,1808.0
2013-01-05 00:00:00,33.69,44975.0,1612.0
2013-01-05 01:00:00,32.71,43955.0,1274.0
2013-01-05 02:00:00,32.09,43482.0,992.0
2013-01-05 03:00:00,32.17,43213.0,763.0
2013-01-05 04:00:00,32.73,43443.0,597.0
2013-01-05 05:00:00,33.77,44042.0,460.0
2013-01-05 06:00:00,34.03,45160.0,354.0
2013-01-05 07:00:00,33.98,47109.0,284.0
2013-01-05 08:00:00,34.45,48944.0,245.0
2013-01-05 09:00:00,36.12,50445.0,227.0
