Date, Zonal COMED price, System load forecast, Zonal COMED load foecast
2013-01-01 00:00:00,25.464211,85049.0,11509.0
2013-01-01 01:00:00,23.554578,82128.0,10942.0
2013-01-01 02:00:00,22.122277,80729.0,10639.0
2013-01-01 03:00:00,21.592066,80248.0,10476.0
2013-01-01 04:00:00,21.546501,80850.0,10445.0
2013-01-01 05:00:00,21.962992,82642.0,10515.0
2013-01-01 06:00:00,23.986774,85575.0,10745.0
2013-01-01 07:00:00,24.609571,88892.0,11148.0
2013-01-01 08:00:00,26.730549,91735.0,11303.0
2013-01-01 09:00:00,26.677503,93590.0,11533.0
2013-01-01 10:00:00,28.124665999999998,94099.0,11663.0
2013-01-01 11:00:00,28.460413,93758.0,11703.0
2013-01-01 12:00:00,27.868985,93167.0,11658.0
2013-01-01 13:00:00,27.228647,92463.0,11592.0
2013-01-01 14:00:00,27.198835,91733.0,11532.0
2013-01-01 15:00:00,27.162212,92229.0,11521.0
2013-01-01 16:00:00,28.440990000000003,95575.0,11671.0
2013-01-01 17:00:00,32.919225,102999.0,12533.0
2013-01-01 18:00:00,35.47654,106324.0,13474.0
2013-01-01 19:00:00,32.700790000000005,106186.0,13723.0
2013-01-01 20:00:00,31.574243,105285.0,13681.0
2013-01-01 21:00:00,30.184456,102486.0,13487.0
2013-01-01 22:00:00,28.898003000000003,97998.0,13132.0
2013-01-01 23:00:00,27.727930999999998,92715.0,12462.0
2013-01-02 00:00:00,26.698946999999997,90904.0,11664.0
2013-01-02 01:00:00,26.025287,88707.0,11134.0
2013-01-02 02:00:00,25.699279999999998,87913.0,10825.0
2013-01-02 03:00:00,25.55645,88260.0,10692.0
2013-01-02 04:00:00,25.542177,90315.0,10701.0
2013-01-02 05:00:00,26.900783,95731.0,10955.0
2013-01-02 06:00:00,31.254309999999997,104247.0,11626.0
2013-01-02 07:00:00,39.243666,109482.0,12603.0
2013-01-02 08:00:00,39.269649,109726.0,13076.0
2013-01-02 09:00:00,38.174664,108557.0,13147.0
2013-01-02 10:00:00,38.020334999999996,107367.0,13150.0
2013-01-02 11:00:00,34.263937,105715.0,13127.0
2013-01-02 12:00:00,31.32592,103992.0,13038.0
2013-01-02 13:00:00,30.893552000000003,102758.0,12887.0
2013-01-02 14:00:00,30.627190999999996,101611.0,12813.0
2013-01-02 15:00:00,30.902632,101396.0,12667.0
2013-01-02 16:00:00,32.363577,104506.0,12705.0
2013-01-02 17:00:00,46.955724,112423.0,13454.0
2013-01-02 18:00:00,52.555533999999994,116333.0,14179.0
2013-01-02 19:00:00,41.374289000000005,116038.0,14101.0
2013-01-02 20:00:00,40.806692,114877.0,13936.0
2013-01-02 21:00:00,34.686867,111597.0,13687.0
2013-01-02 22:00:00,31.982496,105907.0,13151.0
2013-01-02 23:00:00,28.500463,99581.0,12255.0
2013-01-03 00:00:00,26.001234,94180.0,11371.0
2013-01-03 01:00:00,24.875769000000002,91996.0,10815.0
2013-01-03 02:00:00,24.336918,91258.0,10519.0
2013-01-03 03:00:00,24.389793,91693.0,10375.0
2013-01-03 04:00:00,24.583507,93899.0,10398.0
2013-01-03 05:00:00,25.718807,99361.0,10650.0
2013-01-03 06:00:00,30.89055,107720.0,11295.0
2013-01-03 07:00:00,37.146193,112520.0,12352.0
2013-01-03 08:00:00,34.056527,111899.0,12870.0
2013-01-03 09:00:00,33.869153000000004,109827.0,12985.0
2013-01-03 10:00:00,32.328064000000005,107821.0,13044.0
2013-01-03 11:00:00,31.120099,105505.0,13090.0
2013-01-03 12:00:00,28.745493,103282.0,13048.0
2013-01-03 13:00:00,28.488522999999997,101703.0,12988.0
2013-01-03 14:00:00,28.185189,100228.0,12973.0
2013-01-03 15:00:00,28.234109000000004,99931.0,12917.0
2013-01-03 16:00:00,28.866923999999997,102722.0,12928.0
2013-01-03 17:00:00,34.312003999999995,110365.0,13552.0
2013-01-03 18:00:00,34.901154,114042.0,14271.0
2013-01-03 19:00:00,35.068264,113853.0,14254.0
2013-01-03 20:00:00,33.541153,112704.0,14020.0
2013-01-03 21:00:00,30.513043,109494.0,13723.0
2013-01-03 22:00:00,28.783509999999996,103777.0,13221.0
2013-01-03 23:00:00,27.425998999999997,97597.0,12403.0
2013-01-04 00:00:00,24.948989,94046.0,11656.0
2013-01-04 01:00:00,23.28389,91776.0,11086.0
2013-01-04 02:00:00,22.823623,90989.0,10782.0
2013-01-04 03:00:00,22.492204,91238.0,10627.0
