item_id,channel_id,dense_feat_0,dense_feat_1,dense_feat_2,dense_feat_3,dense_feat_4,dense_feat_5,dense_feat_6,dense_feat_7
0,0,0.5928446182250183,0.8442657485810173,0.8579456176227568,0.8472517387841254,0.6235636967859723,0.3843817072926998,0.2975346065444723,0.05671297731744318
1,0,0.3834415188257777,0.7917250380826646,0.5288949197529045,0.5680445610939323,0.925596638292661,0.07103605819788694,0.08712929970154071,0.02021839744032572
2,1,0.9571551589530464,0.14035078041264515,0.8700872583584364,0.4736080452737105,0.8009107519796442,0.5204774795512048,0.6788795301189603,0.7206326547259168
3,1,0.1433532874090464,0.9446689170495839,0.5218483217500717,0.4146619399905236,0.26455561210462697,0.7742336894342167,0.45615033221654855,0.5684339488686485
4,0,0.3241410077932141,0.14967486718368317,0.22232138825158765,0.38648898112586194,0.9025984755294046,0.4499499899112276,0.6130634578841324,0.9023485831739843
5,1,0.06022547162926983,0.6667667154456677,0.6706378696181594,0.2103825610738409,0.1289262976548533,0.31542835092418386,0.3637107709426226,0.5701967704178796
6,0,0.634274057957335,0.9589492686245203,0.6527903170054908,0.6350588736035638,0.9952995676778876,0.5818503294385343,0.4143685882263688,0.4746975022884129
7,0,0.15896958364551972,0.11037514116430513,0.6563295894652734,0.1381829513486138,0.1965823616800535,0.3687251706609641,0.8209932298479351,0.09710127579306127
8,0,0.6736596308357894,0.9719450024996658,0.878193471347177,0.5096243767199001,0.05571469370160631,0.4511592145209281,0.019987665408758737,0.44171092124884537
9,1,0.1201965612131689,0.29614019752214493,0.11872771895424405,0.317983179393976,0.41426299451466997,0.06414749634878436,0.6924721193700198,0.5666014542065752
10,1,0.5089689606670145,0.9167229540194608,0.9211576102371998,0.08311249263060239,0.27771856128103245,0.009356704856532616,0.842342079667731,0.6471741401875555
11,0,0.2894060929472011,0.18319136200711683,0.5865129348100832,0.020107546187493552,0.8289400292173631,0.004695476192547066,0.6778165367962301,0.27000797319216485
12,0,0.28847643704852866,0.43328806198204406,0.7561066938650409,0.3960982754233623,0.896038387509077,0.6389210762313129,0.8915544372256771,0.6800555694634123
13,0,0.8464086724711278,0.6994792753175043,0.29743695085513366,0.8137978197024772,0.39650574084698464,0.8811031971111616,0.5812728726358587,0.8817353618548528
14,1,0.5884650850687494,0.6596684120694128,0.5332062539166482,0.23053302350632987,0.39486929345022914,0.6188085645913571,0.474867515408942,0.47013218925576516
15,1,0.660173537492685,0.29007760721044407,0.6180154289988415,0.42876870094576613,0.13547406422245023,0.29828232595603077,0.5699649107012649,0.5908727612481732
16,1,0.033625093498832026,0.9689617652602737,0.3209972413734975,0.22126268518378278,0.1412639049258967,0.09725992706317388,0.9840422413641464,0.2603409275874047
17,1,0.7038885835403663,0.10022688731230112,0.9194826137446735,0.7142412995491114,0.9988470065678665,0.14944830465799375,0.8681260573682142,0.16249293467637482
18,1,0.16684751304849965,0.7790510196090357,0.8649332956024927,0.41139672375545455,0.13997258549320168,0.03322238526617727,0.9825749598251936,0.3732907507832548
19,0,0.7220555994703479,0.8663823259286292,0.9755215050028858,0.855803342392611,0.011714084185001972,0.3599780644783639,0.729990562424058,0.17162967726144052
20,0,0.4895489368910937,0.3389851167797783,0.1794902609178557,0.17098659868313149,0.46345097738448293,0.8745729576449965,0.9441197509175635,0.608252865854013
21,1,0.03183892953130785,0.16469415649791275,0.6214784014997635,0.5772285886041676,0.23789282137450862,0.9342139979247938,0.613965955965896,0.5356328030249583
22,0,0.7508442456284316,0.9644897677894309,0.5542424350844403,0.2123904988903086,0.22244322438681874,0.21874937373677183,0.569573534574738,0.4521090350334257
23,1,0.22741462797332324,0.25435648177039294,0.05802916032387562,0.4344166255581208,0.3117958819941026,0.6963434888154595,0.3777518392924809,0.1796036775596348
24,1,0.8546135803107144,0.7438345453097878,0.4785963256187501,0.6770815740270854,0.6070450611164516,0.7146969362373571,0.46949718309117094,0.45601462321786723
25,0,0.26332237673715064,0.02065099946572868,0.7583786538361414,0.32001715082246784,0.38346389417189797,0.5883171135536057,0.8310484552361904,0.6289818435911487
26,1,0.3118602206821891,0.42545153795217594,0.8853376596095855,0.6798794564067695,0.456129772122862,0.48340861659875267,0.7887394275320365,0.22944183447104538
27,0,0.25394164259502583,0.21331197736748198,0.5182007139306632,0.025662718054531575,0.2074700754411094,0.42468546875150626,0.37416998033422555,0.4635754243648107
28,1,0.1864582194893385,0.8075802688587874,0.7470794701392341,0.6748473459286921,0.276893750817091,0.17490887430950752,0.704474258393494,0.4631501999901332
29,0,0.18327983621407862,0.14484775934337724,0.48805628064895457,0.3556127378499556,0.940431945252813,0.7653252538069653,0.7486636198505473,0.9037197397459334
30,1,0.7492544170632397,0.7316937564646905,0.04561463715088643,0.20915702948084114,0.2869150433006046,0.6772633053384269,0.06303828966937675,0.5556492427701452
31,1,0.66991654659091,0.7851529120231378,0.2817301057539491,0.5864101661863267,0.06395526612098112,0.4856275959346229,0.9774951397444468,0.8765052453165908
32,1,0.2184028548119228,0.4551688151933373,0.8788697417774708,0.4922682415051587,0.7155611574590398,0.48615956031119767,0.708548150020003,0.49814022550747006
33,0,0.8489435553129182,0.6178766919175238,0.01323685775889949,0.34723351793221957,0.14814086094816503,0.9818293898182532,0.47837030703998806,0.4973913654986627
34,1,0.2694794339581177,0.41049213809445695,0.42822383211640813,0.2978418185550563,0.40113234155862765,0.12065699118611972,0.9806996740240193,0.40612049298131103
35,0,0.9729194890231303,0.9608346580630002,0.906555499221179,0.7740473326986388,0.3331451520286419,0.08110138998799676,0.40724117141380733,0.23223414217094274
36,1,0.3253103051589964,0.9528706723868426,0.013948395933415347,0.5334656817509289,0.3045820306759077,0.882859998043791,0.25062272019388543,0.6774118294719442
37,0,0.24536720985284477,0.42053946668009845,0.5573687913239169,0.8605511738287938,0.7270442627113283,0.27032790523871464,0.1314827992911276,0.05537432042119794
38,1,0.4879345689871769,0.4585145522366506,0.5245926207548479,0.44201531779487013,0.85263492378234,0.43343897446935586,0.8268703682806414,0.5093420653681867
39,1,0.0568480764332403,0.6969972417249873,0.7786953959411034,0.7774075618487531,0.25942256434535493,0.37381313793256143,0.587599635196389,0.272821902424467
40,0,0.1334652095813622,0.7791919742513885,0.9251634258375487,0.7151787489637426,0.4908186128508779,0.4694983029278751,0.8827092893929042,0.4884100599403899
41,0,0.9594333408334251,0.6455702444560039,0.03536243575549092,0.43040243950806123,0.5100168523182502,0.536177494703452,0.6813925106038379,0.2775960977317661
42,0,0.32568476641681543,0.14701389488880123,0.1598700671429253,0.12941233742225133,0.5789223875388946,0.09226017040693324,0.9105447223934636,0.08297174765619597
43,1,0.7241676366115433,0.399025321703102,0.9040443929009577,0.6900250201912274,0.6996220542505167,0.3277204015571189,0.7567786427368892,0.6360610554471413
44,0,0.7669635054509254,0.009766435596283318,0.30828616737698467,0.23286547108097988,0.5034274279399525,0.9537213806638318,0.5578113008828718,0.09746868872548986
45,0,0.5757511620448724,0.820767120701315,0.9088437184127384,0.8155238187685688,0.15941446344895593,0.6288984390617004,0.3984342586196771,0.0627129520233457
46,0,0.4473782946071331,0.7276963431316488,0.7422379779316829,0.30698605596261264,0.11977134909755616,0.4438786756746984,0.39177431923395767,0.5318491770716929
47,0,0.4012595008036087,0.9292914173027139,0.09961493022127133,0.9453015334790795,0.8694885305466322,0.4541623969075518,0.32670088176826007,0.23274412927905685
48,0,0.8395129668196633,0.5223705322713111,0.5130748631715455,0.6498319735234533,0.5445908773835076,0.03246529565126377,0.5801517162709772,0.7710890481699647
49,1,0.01203622289765427,0.11548429713874808,0.6184802595127479,0.9742562128180503,0.9903450015608939,0.4090540953730616,0.16295442604660537,0.6387617573665293
50,1,0.6400241552994383,0.3681024019815341,0.3127532957735243,0.8018361500531322,0.07044718594415944,0.6835729603655977,0.38072924499260763,0.6339309563179247
51,1,0.5173085172022888,0.4240889884358493,0.554687808661419,0.28705151991962974,0.7065747062729789,0.414856869333564,0.36054556048589226,0.8286569145557378
52,1,0.397533491596634,0.738682659213446,0.4490834277012896,0.9372843639177566,0.25723348547139335,0.3817598072362818,0.6971416168283547,0.8970701046031435
53,1,0.9920112434144741,0.2494200410564512,0.1059061548822322,0.9509526110553941,0.2334202554680963,0.6897682650777505,0.05835635898058866,0.7307090991274762
54,0,0.6311255415710575,0.13281499876869385,0.3742445809714211,0.3244048636316378,0.6801155376270952,0.7955347461391471,0.5039336118794355,0.2962423883711427
55,0,0.8391891222586524,0.23774182601563876,0.5023894574892614,0.9425835996979304,0.6339976977446607,0.8672894054624648,0.9402096893547673,0.7507648618863519
56,0,0.14882930344317524,0.13185203816295255,0.7079174626754349,0.7090721135651303,0.6117484144329579,0.671907016279956,0.4475158707610247,0.6960771689660051
57,0,0.604117804020882,0.3828080591578541,0.89538588428821,0.9677946717985019,0.5468849016694222,0.2748235698675966,0.5922304187618368,0.8967611582244098
58,1,0.5799123983985056,0.9757516851399299,0.27300890129390465,0.9700750738510008,0.02549734896729483,0.8880437054177104,0.7086088382481099,0.2777736736315105
59,0,0.5249704422542643,0.7505950229289875,0.3335074657912753,0.9241587666207636,0.8623185468359024,0.04869029597552854,0.25364252425682277,0.4461355126592019
60,0,0.5124516587590872,0.51062890693618,0.38682715356733255,0.530088935959223,0.9447074808964758,0.8928622469672834,0.6771143998332181,0.6390273844915813
61,1,0.8792347630313271,0.5436780538280952,0.2826996509455366,0.03023525800598259,0.7103368289742134,0.007884103508440377,0.3726790698209955,0.5305372145627818
62,1,0.3611515171043168,0.5027095407690281,0.15362753737206158,0.4255076374308092,0.9061718405949403,0.008511590056627494,0.9688640997540201,0.6908937254227938
63,0,0.5771402440203418,0.695270005904686,0.6719571405958223,0.9488610207205074,0.0027032138935026984,0.647196653894036,0.6003922370976396,0.5887396099702882
64,1,0.9147906602686022,0.667284844044465,0.44066609303413806,0.6850919910505949,0.6485983083692556,0.02910001420110575,0.919531435498915,0.5424570027145418
65,1,0.5199523745708382,0.6939564109345475,0.09088573203240946,0.22775950153786095,0.41030156269012563,0.6232946730201306,0.8869607812174175,0.6188261682413765
