[WARNING] ME(1314488:281473216745504,_GeneratorWorkerMp-17):2024-10-30-09:28:57.643.298 [mindspore/dataset/engine/queue.py:125] Using shared memory queue, but rowsize is larger than allocated memory max_rowsize 6291456 current rowsize 120519680
[WARNING] ME(1314515:281473216745504,_GeneratorWorkerMp-26):2024-10-30-09:29:00.987.366 [mindspore/dataset/engine/queue.py:125] Using shared memory queue, but rowsize is larger than allocated memory max_rowsize 6291456 current rowsize 120519680
[WARNING] ME(1314706:281473216745504,_GeneratorWorkerMp-48):2024-10-30-09:29:13.568.808 [mindspore/dataset/engine/queue.py:125] Using shared memory queue, but rowsize is larger than allocated memory max_rowsize 6291456 current rowsize 120519680
[WARNING] DEVICE(1314307,ffff97191020,python):2024-10-30-09:29:47.168.316 [mindspore/ccsrc/plugin/device/ascend/hal/device/kernel_select_ascend.cc:330] FilterRaisedOrReducePrecisionMatchedKernelInfo] Operator:[Gradients/Default/network-MyTrainStep/network-WithLossLPCNet/backbone-LPCNet/decoder-Decoder/gradStridedSlice/StridedSliceGrad-op940] don't support int64, reduce precision from int64 to int32.
[WARNING] DEVICE(1314307,ffff97191020,python):2024-10-30-09:29:47.190.242 [mindspore/ccsrc/plugin/device/ascend/hal/device/kernel_select_ascend.cc:330] FilterRaisedOrReducePrecisionMatchedKernelInfo] Operator:[Gradients/Default/network-MyTrainStep/network-WithLossLPCNet/backbone-LPCNet/decoder-Decoder/gradStridedSlice/StridedSliceGrad-op946] don't support int64, reduce precision from int64 to int32.
[WARNING] DEVICE(1314307,ffff97191020,python):2024-10-30-09:29:47.200.864 [mindspore/ccsrc/plugin/device/ascend/hal/device/kernel_select_ascend.cc:330] FilterRaisedOrReducePrecisionMatchedKernelInfo] Operator:[Gradients/Default/network-MyTrainStep/network-WithLossLPCNet/backbone-LPCNet/decoder-Decoder/gradStridedSlice/StridedSliceGrad-op948] don't support int64, reduce precision from int64 to int32.
[WARNING] DEVICE(1314307,ffff97191020,python):2024-10-30-09:29:47.206.074 [mindspore/ccsrc/plugin/device/ascend/hal/device/kernel_select_ascend.cc:330] FilterRaisedOrReducePrecisionMatchedKernelInfo] Operator:[Gradients/Default/network-MyTrainStep/network-WithLossLPCNet/backbone-LPCNet/decoder-Decoder/gradStridedSlice/StridedSliceGrad-op950] don't support int64, reduce precision from int64 to int32.
[WARNING] DEVICE(1314307,ffff97191020,python):2024-10-30-09:29:47.212.055 [mindspore/ccsrc/plugin/device/ascend/hal/device/kernel_select_ascend.cc:330] FilterRaisedOrReducePrecisionMatchedKernelInfo] Operator:[Gradients/Default/network-MyTrainStep/network-WithLossLPCNet/backbone-LPCNet/decoder-Decoder/gradStridedSlice/StridedSliceGrad-op952] don't support int64, reduce precision from int64 to int32.
[WARNING] DEVICE(1314307,ffff97191020,python):2024-10-30-09:29:47.218.386 [mindspore/ccsrc/plugin/device/ascend/hal/device/kernel_select_ascend.cc:330] FilterRaisedOrReducePrecisionMatchedKernelInfo] Operator:[Gradients/Default/network-MyTrainStep/network-WithLossLPCNet/backbone-LPCNet/decoder-Decoder/gradStridedSlice/StridedSliceGrad-op955] don't support int64, reduce precision from int64 to int32.
[WARNING] DEVICE(1314307,ffff97191020,python):2024-10-30-09:29:47.220.846 [mindspore/ccsrc/plugin/device/ascend/hal/device/kernel_select_ascend.cc:330] FilterRaisedOrReducePrecisionMatchedKernelInfo] Operator:[Gradients/Default/network-MyTrainStep/network-WithLossLPCNet/backbone-LPCNet/decoder-Decoder/gradStridedSlice/StridedSliceGrad-op956] don't support int64, reduce precision from int64 to int32.
[WARNING] DEVICE(1314307,ffff97191020,python):2024-10-30-09:29:47.222.612 [mindspore/ccsrc/plugin/device/ascend/hal/device/kernel_select_ascend.cc:330] FilterRaisedOrReducePrecisionMatchedKernelInfo] Operator:[Gradients/Default/network-MyTrainStep/network-WithLossLPCNet/backbone-LPCNet/decoder-Decoder/gradStridedSlice/StridedSliceGrad-op957] don't support int64, reduce precision from int64 to int32.
[WARNING] DEVICE(1314307,ffff97191020,python):2024-10-30-09:36:48.941.453 [mindspore/ccsrc/plugin/device/ascend/hal/device/ascend_stream_assign.cc:1944] InsertEventForCallCommSubGraph] Cannot find comm group for sub comm graph label id 2
[WARNING] DEVICE(1314307,ffff97191020,python):2024-10-30-09:36:48.941.633 [mindspore/ccsrc/plugin/device/ascend/hal/device/ascend_stream_assign.cc:1944] InsertEventForCallCommSubGraph] Cannot find comm group for sub comm graph label id 5
[WARNING] DEVICE(1314307,ffff97191020,python):2024-10-30-09:36:48.941.692 [mindspore/ccsrc/plugin/device/ascend/hal/device/ascend_stream_assign.cc:1944] InsertEventForCallCommSubGraph] Cannot find comm group for sub comm graph label id 11
[WARNING] DEVICE(1314307,ffff97191020,python):2024-10-30-09:36:48.941.742 [mindspore/ccsrc/plugin/device/ascend/hal/device/ascend_stream_assign.cc:1944] InsertEventForCallCommSubGraph] Cannot find comm group for sub comm graph label id 14
[WARNING] DEVICE(1314307,ffff97191020,python):2024-10-30-09:36:48.941.790 [mindspore/ccsrc/plugin/device/ascend/hal/device/ascend_stream_assign.cc:1944] InsertEventForCallCommSubGraph] Cannot find comm group for sub comm graph label id 17
[WARNING] DEVICE(1314307,ffff97191020,python):2024-10-30-09:36:48.941.933 [mindspore/ccsrc/plugin/device/ascend/hal/device/ascend_stream_assign.cc:1944] InsertEventForCallCommSubGraph] Cannot find comm group for sub comm graph label id 8
[WARNING] MD(1314307,fffa28f9f080,python):2024-10-30-09:37:03.158.816 [mindspore/ccsrc/minddata/dataset/engine/datasetops/source/generator_op.cc:195] operator()] Bad performance attention, it takes more than 25 seconds to generator.__next__ new row, which might cause `GetNext` timeout problem when sink_mode=True. You can increase the parameter num_parallel_workers in GeneratorDataset / optimize the efficiency of obtaining samples in the user-defined generator function.
[WARNING] MD(1314307,fff9f3fff080,python):2024-10-30-09:37:03.159.106 [mindspore/ccsrc/minddata/dataset/engine/datasetops/device_queue_op.cc:752] DetectPerBatchTime] Bad performance attention, it takes more than 25 seconds to fetch a batch of data from dataset pipeline, which might result `GetNext` timeout problem. You may test dataset processing performance(with creating dataset iterator) and optimize it.
epoch: 1 step: 20170, loss is 3.43021559715271
Train epoch time: 9005452.679 ms, per step time: 446.478 ms
epoch: 2 step: 20170, loss is 3.209195613861084
Train epoch time: 8814832.081 ms, per step time: 437.027 ms
epoch: 3 step: 20170, loss is 3.4335992336273193
Train epoch time: 8884656.705 ms, per step time: 440.489 ms
epoch: 4 step: 20170, loss is 3.5367207527160645
Train epoch time: 8912004.728 ms, per step time: 441.845 ms
epoch: 5 step: 20170, loss is 3.353151321411133
Train epoch time: 8964178.080 ms, per step time: 444.431 ms
epoch: 6 step: 20170, loss is 3.1678967475891113
Train epoch time: 8965438.742 ms, per step time: 444.494 ms
epoch: 7 step: 20170, loss is 3.2115345001220703
Train epoch time: 8803607.865 ms, per step time: 436.470 ms
epoch: 8 step: 20170, loss is 3.3216240406036377
Train epoch time: 8864759.420 ms, per step time: 439.502 ms

